video_id,s3_uri,downsampled_s3_uri,sha1_checksum,downsampled_sha1_checksum
aaju.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aaju.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aaju.mp4,d9ec6ca489a60d36cb8bb92e330b53d7959df3cc,2bd25310ef09d22ddd35a171d0e61a4312f1de18
aany.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aany.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aany.mp4,b9953d0e4924747beaf6707b0ddc1a2f4f3d6b4c,b00d13e0ffe452d137d30f5cc91d4610017427b7
aava.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aava.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aava.mp4,e661e42e94f36bff3acb406df6b19898985da010,89193046edb26b36fb7ffbd46731551d17a8d01a
aazh.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aazh.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aazh.avi,1bc2fdc5501b5bde874725e794bac9d22ea4ddde,1d97d68fdaa51c4237fff0c80cdd6544e0f196ab
abhg.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/abhg.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/abhg.mp4,9c4621b5d0edfaee4edd60a41df37308934c0f90,81a93a5dab9acd254339175a56001e14cc1d27da
abim.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/abim.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/abim.mp4,0502c21fb18f4186c4ec21d2f97751235167a4a3,c10f7a32a4e5a594edb9e82336291f0858628992
abjx.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/abjx.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/abjx.mp4,e0f3e5cc3fb6ebc2f198332cfaf7c1f2221d1b39,6e613e740c937f9057434a3be7558c4161ec725d
absl.avi,s3://drivendata-competition-depth-estimation-public/test_videos/absl.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/absl.avi,70bae2d04f9ab867a42b2492ee156aa1977da735,9552f6df72b8ae7386f775829db97d25f276fe39
abzy.avi,s3://drivendata-competition-depth-estimation-public/train_videos/abzy.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/abzy.avi,f455014a906531624f5f1c0f84b8f76e9e04cee0,aba3d9a96bd7afd0da97003be22bd5b0a33ccaa1
accx.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/accx.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/accx.mp4,ab1d4ca976deba4b58a0a8d1b7438fa371bf9f96,e1d0a77a075f8ef424108462e53a215e1c627eca
acdy.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/acdy.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/acdy.mp4,aee21a4433e5513c78ec3a65d7d1d3698456d429,4074784f9c8e11439ceb4ea08c31a08555c00c8c
aceu.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aceu.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aceu.mp4,fec9c0f9479ac580f2bab7d258b15f49f847e108,3d57f66b10c83135e4290bcda1376d13ff4371ed
acgp.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/acgp.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/acgp.mp4,b32a23c8142b846acd42680bec1061d4ca70f338,c4019218da93a4f2c650eef742f75782c7f81ddc
acii.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/acii.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/acii.mp4,7cc7d62c8cea16373b6fabe5ac63ea859d727338,3ce57d7e0f8415feea3fcbdcd340bf4a2af1ded2
acjm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/acjm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/acjm.mp4,aa402c5e0e5d15470311746f3b5345783dd56012,46de2382b384725d7a0ef3e89b239b6070008820
acpr.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/acpr.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/acpr.mp4,8ce63d0015cfff908fe65ee0423c2e5b915cd041,bb57c54cec1bd57d6c9e3a85adeb2707ddd434af
acyi.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/acyi.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/acyi.mp4,2de129127a84e81eb3960f83b3fdf2136ab91750,9d473ce933370784c129d14a9895e76b14cc5cc7
aczq.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aczq.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aczq.avi,84cb739a9e52a99c0a7b5ec8f41ba42449569cd8,51ab4ebad47a799ad19d15fc95b4c97c7e49d69e
adfm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/adfm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/adfm.mp4,bdb38fea4be59db3be098128554d4d450eb0ceba,5f89e4e9ddc2e517062369bc547d2af0c7a22656
adky.avi,s3://drivendata-competition-depth-estimation-public/train_videos/adky.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/adky.avi,3132e7ce36dc0d597d20cb683bb62c7c177d639a,f0cc90855fe848fb1913e3f7c9f6700b2d4472e8
admu.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/admu.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/admu.mp4,6c96a7ab6401481da2d9bf622a255c0e0f9a8e41,3bb332bba7d8643045d979f4d3fe5f66f6654ff6
admx.avi,s3://drivendata-competition-depth-estimation-public/train_videos/admx.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/admx.avi,37239ad28213ee21d6d67c2f5f1f4d51abd79175,2f25425b4d1dbdaa168ee3db495f43218890b034
adsm.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/adsm.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/adsm.mp4,3e38eb8ff40c5ebe9ed60511b21f47345cb2be28,a06993074ca0ff05d57490dedc82b439e5b80b0d
adwm.avi,s3://drivendata-competition-depth-estimation-public/test_videos/adwm.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/adwm.avi,9c4a7810fa738046c9d5c1b27ad0aceb258db7bf,3d63a79c90c760f6bf4ec563f124776405d71cbe
adxk.avi,s3://drivendata-competition-depth-estimation-public/test_videos/adxk.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/adxk.avi,76c1213447a9dc5d479fffdeff8176453019344b,35c9031e305f15fcfb9c59817d1f56d4910a68cc
adxl.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/adxl.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/adxl.mp4,27ebe1ba8d5517985854aa091f3d6db51c7bfe92,cedb70f7254a3fb9803d627c78f1f5430c902bc2
adxn.avi,s3://drivendata-competition-depth-estimation-public/test_videos/adxn.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/adxn.avi,a8bcdb1bc009037ed42aaec8b739c48101c9a5de,323c0ffe5ae26af5a1fe92e931dc60936c8d6920
adzf.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/adzf.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/adzf.mp4,ed7d7094bc49ae8488a6a88ff818c0f1e33e5b0d,7b0a8676c06ef36b83f70d3e149e9902cf699498
aeai.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aeai.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aeai.mp4,085a679e40a8f634dbf61d8415856d7b6d4cdad6,1a52dc8deaea719589e267c6d26b4789787ab4e5
aeea.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aeea.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aeea.avi,df0af27cbf9919117a5bef894e5093f2cf5a461a,03645dc05f1eca2cc2901a7859c5d2a90c0558e4
aena.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aena.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aena.mp4,bcf68eba81ef7fee474d2f359394249c57e26547,47f181f5d0af30d7c748c4f8777e32dcbdfe9462
aend.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aend.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aend.avi,2047f6f9f8fe7561c4f9fdba8157143cbc20cc64,5cc699a4eef23fcff86dc4f4cbce2606318681b6
aerw.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aerw.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aerw.avi,ee12482e67f327f8820e8953be1a103a7ab845cc,0868cdaed28b2a72e325c9bd17cea9aa26f4252e
aeus.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aeus.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aeus.mp4,1fae417313ba12e422a51ab82ba8f101a684fa8a,d21cd6d252b8c3bbe019f574841f3c23705eada2
aexm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aexm.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aexm.mp4,fb2df7d3dc7aa6b15a0be322e88e415620d6c6ca,7b23177d41dfc836c09debb3f02be2479b54eadc
afkc.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/afkc.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/afkc.mp4,5c5ed4e4923ec382b5df40b1833cc4ff4fb2c7a8,17ea3a04cc52d13e68ce78841cfe8b131d8cebec
afwa.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/afwa.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/afwa.mp4,f6ae1605c6754243faf8c923a4df1e75688236a1,842faa6c43b18fae5796e8454eba735610dc8ccf
afxf.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/afxf.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/afxf.mp4,a0462ae9492b5f79c1bfef95df93aab09f176e0c,5d243825f22a2ead45132a9dc48e43f05347ad8b
aggz.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aggz.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aggz.mp4,48f215b1dd67d7c8309adc274fdfc59f01d0b2a8,ca6f85f5ec1179635c4f83aada6282ce5752c104
agku.avi,s3://drivendata-competition-depth-estimation-public/test_videos/agku.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/agku.avi,49150f5fa4d5097ae5c50d9f1ba1c9b13e52b9bd,c7ce7945e0ea1f89f42bd027b9c49148c661693c
agvj.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/agvj.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/agvj.mp4,c5588d6377c5e1d878d4fa779ea56fdd58a5fd2e,b875a2da44596b148c11f6d2b8b46dd0a4cadf93
agvr.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/agvr.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/agvr.mp4,e5d92dec2eb5844925018ccf52b0c694156a6af5,70e8c0700ab117f8f7d40f32900acf109b0c854c
ahlg.avi,s3://drivendata-competition-depth-estimation-public/test_videos/ahlg.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/ahlg.avi,4bba2764781a558efd6d4840d2ae2149e7c1869b,be1dcbaad43015ce7b28e186800a80d448be0145
