video_id,time,x1,y1,x2,y2,probability,park,site_id
aany.mp4,0,0.0,0.4190867,0.32064056,0.88887703,0.7333985,moyen_bafing,fat
aany.mp4,10,0.5968924,0.49075872,0.90920377,0.7706575,0.21808858,moyen_bafing,fat
aany.mp4,20,0.6872215,0.5683679,0.98108244,0.8536618,0.21931614,moyen_bafing,fat
aazh.avi,0,0.0096874535,0.36197138,0.465045,0.9239086,0.7364271,tai,cwq
aazh.avi,2,0.016854912,0.36550978,0.47696987,0.91867757,0.508687,tai,cwq
aazh.avi,4,0.013069823,0.28710565,0.47219127,0.9669285,0.14892422,tai,cwq
aazh.avi,6,0.025318787,0.33401975,0.4717272,0.9356499,0.07395812,tai,cwq
aazh.avi,8,0.020436496,0.34243,0.47454152,0.938095,0.17608401,tai,cwq
aazh.avi,10,0.016211614,0.33898988,0.4636026,0.9370036,0.2666791,tai,cwq
aazh.avi,12,0.03862956,0.31037855,0.55201197,0.9671706,0.06878573,tai,cwq
aazh.avi,14,0.00886102,0.36859828,0.47870243,0.9968416,0.04934871,tai,cwq
abim.mp4,0,0.80971617,0.17899016,1.0,0.8151506,0.100011006,moyen_bafing,cde
abim.mp4,10,0.83886135,0.23194066,1.0,0.779914,0.13095644,moyen_bafing,cde
abim.mp4,20,0.24582922,0.48678645,0.7833352,0.9464607,0.31736887,moyen_bafing,cde
abim.mp4,30,0.26886946,0.49237794,0.75540495,0.9460809,0.51623076,moyen_bafing,cde
abim.mp4,40,0.8053392,0.18018073,1.0,0.81823575,0.13920838,moyen_bafing,cde
abzy.avi,0,,,,,,tai,vso
abzy.avi,2,,,,,,tai,vso
abzy.avi,4,,,,,,tai,vso
abzy.avi,6,,,,,,tai,vso
abzy.avi,8,0.86523104,0.38692093,0.90808254,0.46409157,0.010232523,tai,vso
abzy.avi,10,,,,,,tai,vso
abzy.avi,12,,,,,,tai,vso
abzy.avi,14,,,,,,tai,vso
accx.mp4,2,0.92040664,0.6984059,1.0,0.8557631,0.015105574,moyen_bafing,mcb
accx.mp4,10,0.9208953,0.69773096,1.0,0.8561681,0.010539323,moyen_bafing,mcb
accx.mp4,20,0.9199284,0.6962761,1.0,0.8563949,0.012624329,moyen_bafing,mcb
accx.mp4,30,0.92073596,0.69505817,1.0,0.8577143,0.011529708,moyen_bafing,mcb
accx.mp4,40,0.91989076,0.6943571,1.0,0.8588047,0.011519705,moyen_bafing,mcb
accx.mp4,50,,,,,,moyen_bafing,mcb
acpr.mp4,0,0.44723883,0.5761206,0.5054815,0.84628636,0.13825709,moyen_bafing,tre
acpr.mp4,10,,,,,,moyen_bafing,tre
acyi.mp4,0,0.17415641,0.5446106,0.24889503,0.62084985,0.966139,moyen_bafing,akf
aczq.avi,0,0.34857976,0.6634253,0.41325986,0.82314086,0.45356807,tai,gxw
aczq.avi,2,0.35450715,0.65744954,0.41388363,0.82820225,0.30049422,tai,gxw
aczq.avi,4,0.34096968,0.65500647,0.48628214,0.85249805,0.24312796,tai,gxw
aczq.avi,6,0.3530866,0.65529335,0.5162944,0.85140175,0.25026205,tai,gxw
aczq.avi,8,0.35034147,0.6560064,0.5350928,0.85769135,0.072966844,tai,gxw
aczq.avi,10,0.8424728,0.012620568,0.99627304,0.45278102,0.06630693,tai,gxw
aczq.avi,12,0.8422972,0.013601929,0.9957106,0.45420584,0.04263088,tai,gxw
aczq.avi,14,0.3431193,0.6428093,0.50509536,0.869934,0.5983938,tai,gxw
adky.avi,0,0.19357237,0.3526721,0.9375807,1.0,0.02869171,tai,cbl
adky.avi,2,,,,,,tai,cbl
adky.avi,4,0.38919556,0.49532604,0.72107804,0.8880414,0.011691985,tai,cbl
adky.avi,6,0.38871193,0.49129647,0.725428,0.89165306,0.012532207,tai,cbl
admu.mp4,30,0.6240222,0.8581227,0.762253,0.9525486,0.061670158,moyen_bafing,vyi
admu.mp4,40,0.6235398,0.8585331,0.7615185,0.9523553,0.04763177,moyen_bafing,vyi
admu.mp4,50,0.62300384,0.85882425,0.7637239,0.9521857,0.049312685,moyen_bafing,vyi
admx.avi,7,0.0,0.0,0.7642669,0.7834996,0.019664673,tai,qsz
admx.avi,9,0.0,0.0,0.76457083,0.7830245,0.019293008,tai,qsz
admx.avi,11,0.0,0.0,0.76515585,0.7852012,0.019325405,tai,qsz
