video_id,time,distance
aany.mp4,0,3.0
aany.mp4,10,4.0
aany.mp4,20,4.0
aazh.avi,0,1.5
aazh.avi,2,1.5
aazh.avi,4,1.5
aazh.avi,6,1.5
aazh.avi,8,1.5
aazh.avi,10,1.5
aazh.avi,12,1.5
aazh.avi,14,1.5
abim.mp4,0,17.0
abim.mp4,10,17.0
abim.mp4,20,17.0
abim.mp4,30,17.0
abim.mp4,40,16.0
abzy.avi,0,9.0
abzy.avi,2,9.0
abzy.avi,4,9.0
abzy.avi,6,9.0
abzy.avi,8,9.0
abzy.avi,10,9.0
abzy.avi,12,7.5
abzy.avi,14,6.5
accx.mp4,2,10.0
accx.mp4,10,25.0
accx.mp4,20,25.0
accx.mp4,30,25.0
accx.mp4,40,25.0
accx.mp4,50,25.0
acpr.mp4,0,5.0
acpr.mp4,10,12.0
acyi.mp4,0,14.0
aczq.avi,0,4.5
aczq.avi,2,4.5
aczq.avi,4,4.5
aczq.avi,6,4.5
aczq.avi,8,4.5
aczq.avi,10,4.5
aczq.avi,12,4.5
aczq.avi,14,4.5
adky.avi,0,11.0
adky.avi,2,11.0
adky.avi,4,11.0
adky.avi,6,13.5
admu.mp4,30,10.0
admu.mp4,40,9.0
admu.mp4,50,9.0
admx.avi,7,3.5
admx.avi,9,3.5
admx.avi,11,2.5
admx.avi,13,2.5
adsm.mp4,8,11.0
adsm.mp4,10,11.0
adsm.mp4,12,11.0
adsm.mp4,14,11.0
adsm.mp4,16,11.0
adsm.mp4,18,10.0
adsm.mp4,20,7.0
adsm.mp4,22,6.0
adsm.mp4,24,4.0
adsm.mp4,26,3.0
adsm.mp4,28,2.0
adsm.mp4,30,2.0
adsm.mp4,50,17.0
adsm.mp4,52,9.0
adxl.mp4,0,2.0
adxl.mp4,2,2.0
adxl.mp4,4,2.0
adxl.mp4,6,2.0
adxl.mp4,8,2.0
adxl.mp4,10,2.0
adxl.mp4,12,2.0
adxl.mp4,14,2.0
adxl.mp4,16,2.0
adxl.mp4,18,2.0
adxl.mp4,20,2.0
adxl.mp4,22,2.0
adxl.mp4,24,2.0
adxl.mp4,26,2.0
adxl.mp4,28,2.0
adxl.mp4,30,2.0
adxl.mp4,32,2.0
adxl.mp4,34,2.0
adxl.mp4,36,2.0
adxl.mp4,38,2.0
adxl.mp4,40,2.0
adxl.mp4,42,2.0
adxl.mp4,44,2.0
adxl.mp4,46,2.0
adxl.mp4,48,2.0
adxl.mp4,50,2.0
adzf.mp4,0,1.0
adzf.mp4,2,1.0
adzf.mp4,4,1.0
adzf.mp4,6,1.0
adzf.mp4,8,1.0
adzf.mp4,10,1.0
adzf.mp4,12,1.0
adzf.mp4,14,1.0
adzf.mp4,16,1.0
